brand,name,size(g),price,unit_price
Miss Vickies,"Kettle Cooked Potato Chips, Sea Salt & Malt Vinegar",300,4.58,1.5266666666666666
Que Pasa,Organic Vegan Sweet & Spicy Tortilla Chips,156,3.48,2.230769230769231
The Good Bean,Thai Coconut Chick Peas,170,4.98,2.9294117647058826
,Blast O Butter Ultimate Theatre Style Butter Microwave Pop Corn,594,3.98,0.6700336700336701
Ulker,Pizza Clip,150,1.38,0.9199999999999999
,"Crunchy Cheese Flavoured Snacks, Flamin' Hot",310,3.27,1.0548387096774194
Que Pasa,Salted Tortilla Chips,350,2.98,0.8514285714285714
Kettle,"Kettle Chips, Jalapeno",220,2.48,1.1272727272727272
No Name,Corn Chips,200,1.78,0.89
Kettle,"Krinkle Cut Potato Chips, Salt & Fresh Ground Pepper",397,4.98,1.2544080604534005
Terra,"Vegetable Chips, Sweet Potato",170,3.98,2.3411764705882354
,"Potato Chips, Sour Cream 'n Bacon",220,3.27,1.4863636363636363
Sunchips,"Multigrain Snacks, Garden Salsa",225,3.67,1.631111111111111
Lay's,"Wavy Potato Chips, Bar-B-Q",255,3.18,1.2470588235294118
Lay's,"Poppables Snacks, Honey BBQ",141,2.47,1.75177304964539
Quality,Mamra Chikki,100,0.98,0.98
Paqui,Wild Wild Ranch Tortilla Chips,155,4.48,2.8903225806451616
Lay's,Wavy Salt Vinegar Chips,240,2.47,1.0291666666666668
President's Choice,Applewood Smoked Bacon Flavour Kettle Cooked Potato Chips,220,1.68,0.7636363636363637
